"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "JavaScript JSX", "SVG", "CSS", "SCSS", "comment", "blank", "total"
"d:\Kaisen 2023\kaizen-admin\public\vite.svg", "SVG", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Kaisen 2023\kaizen-admin\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 47, 0, 0, 3, 50
"d:\Kaisen 2023\kaizen-admin\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 0, 13, 111
"d:\Kaisen 2023\kaizen-admin\src\assets\react.svg", "SVG", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Kaisen 2023\kaizen-admin\src\components\CartIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 1, 2, 14
"d:\Kaisen 2023\kaizen-admin\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 68, 0, 0, 0, 0, 8, 76
"d:\Kaisen 2023\kaizen-admin\src\components\Footer2.jsx", "JavaScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"d:\Kaisen 2023\kaizen-admin\src\components\Loader.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"d:\Kaisen 2023\kaizen-admin\src\components\NavBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 170, 0, 0, 0, 1, 6, 177
"d:\Kaisen 2023\kaizen-admin\src\components\NavBar2.jsx", "JavaScript JSX", 0, 0, 0, 0, 106, 0, 0, 0, 15, 12, 133
"d:\Kaisen 2023\kaizen-admin\src\components\OAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 3, 7, 48
"d:\Kaisen 2023\kaizen-admin\src\components\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"d:\Kaisen 2023\kaizen-admin\src\components\PurchasedEventItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 3, 43
"d:\Kaisen 2023\kaizen-admin\src\firebase.config.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\Kaisen 2023\kaizen-admin\src\hooks\useAuthStatus.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 30
"d:\Kaisen 2023\kaizen-admin\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"d:\Kaisen 2023\kaizen-admin\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\Kaisen 2023\kaizen-admin\src\pages\Cart.jsx", "JavaScript JSX", 0, 0, 0, 0, 251, 0, 0, 0, 3, 24, 278
"d:\Kaisen 2023\kaizen-admin\src\pages\EventPage\EditEvent.jsx", "JavaScript JSX", 0, 0, 0, 0, 266, 0, 0, 0, 9, 28, 303
"d:\Kaisen 2023\kaizen-admin\src\pages\EventPage\Event.css", "CSS", 0, 0, 0, 0, 0, 0, 335, 0, 0, 52, 387
"d:\Kaisen 2023\kaizen-admin\src\pages\EventPage\EventDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 101, 0, 0, 0, 12, 11, 124
"d:\Kaisen 2023\kaizen-admin\src\pages\EventPage\EventPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 121, 0, 0, 0, 8, 21, 150
"d:\Kaisen 2023\kaizen-admin\src\pages\EventPage\RegisterPopup.jsx", "JavaScript JSX", 0, 0, 0, 0, 119, 0, 0, 0, 1, 18, 138
"d:\Kaisen 2023\kaizen-admin\src\pages\ForgotPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 0, 13, 74
"d:\Kaisen 2023\kaizen-admin\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 17, 12, 56
"d:\Kaisen 2023\kaizen-admin\src\pages\Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 3, 15, 116
"d:\Kaisen 2023\kaizen-admin\src\pages\SignIn.jsx", "JavaScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 0, 17, 90
"d:\Kaisen 2023\kaizen-admin\src\pages\SignUp.jsx", "JavaScript JSX", 0, 0, 0, 0, 85, 0, 0, 0, 0, 14, 99
